wavelength,species,ep,gf,iris,HIP58067,HIP58073,HIP62596,HIP62596B,HIP89270,HIP89275,HIP99727,HIP99729
6597.56,26,4.8,-0.97,43.8,42.5,42.8,40,41.3,23.8,23.7,55.1,57.5
6625.022,26,1.011,-5.336,15.3,14.3,18.6,7.9,7.8,,,24.2,27.7
6703.567,26,2.759,-3.023,37,36.5,41.2,26.9,28.8,16.1,13.8,49.3,51.3
6705.102,26,4.607,-0.98,45.4,43.3,46.8,42.4,41.3,22.1,22.4,57.8,59.5
6710.319,26,1.485,-4.88,14.9,16.2,19.7,8.3,8.6,3.6,3.5,23.4,27
6713.745,26,4.795,-1.4,21.9,19.7,21.2,18.3,17.5,7.5,8.7,30.5,30.9
6725.357,26,4.103,-2.19,18,18,19.8,15.1,15,5.9,7,26.2,27.2
6726.667,26,4.607,-1.03,47.8,,,42.7,46.1,21.9,23,56.3,58.4
6733.151,26,4.638,-1.47,27,23.6,25,20.8,22.1,11.2,13.3,36.9,38.8
6739.522,26,1.557,-4.794,11.9,13,15.5,5.8,6.3,,,17.6,20.5
6750.152,26,2.424,-2.621,74.1,74.8,78.6,64.1,65.5,48.1,46.7,88.3,90.7
6793.259,26,4.076,-2.326,11.5,12.1,13.8,9.4,10.4,,,17.3,18.9
6806.845,26,2.727,-3.11,34.8,,,27.7,29.1,12.7,13.1,48.7,49.3
6810.263,26,4.607,-0.986,51,48.5,51,46.5,49.4,22.1,23.5,63.4,62.7
6837.006,26,4.593,-1.687,16.9,14.9,16.6,14.8,15.7,8.2,7.1,23.9,25.3
6839.83,26,2.559,-3.35,30.1,31.2,33.3,18.8,17.7,9.4,9.9,41.9,46.3
6843.66,26,4.55,-0.83,60.6,57.8,61.1,53.5,53.7,33.9,35.5,73.1,74.2
6858.15,26,4.61,-0.94,50.5,49.7,49.4,48.6,50.6,24.3,27.2,61.7,62.8
7583.79,26,3.02,-1.88,84,82.8,86.6,73.1,71.9,52.6,52.1,96.2,98.5
7723.21,26,2.28,-3.62,38.4,38.3,44.3,28.8,27.6,,,48.6,52.3
4491.4,26.1,2.856,-2.66,78.4,,,80.8,82.6,,,90.5,90.1
