wavelength,species,ep,gf,HIP58067,HIP58073,HIP62596,HIP62596B,HIP89270,HIP89275,HIP99727,HIP99729,iris
7800.0,14.0,6.18,-0.71,49.7,45.6,62.5,62.4,35.0,36.8,77.3,73.1,57.2
4694.1128,16.0,6.525,-1.673,9.2,7.1,6.5,5.5,9.0,5.1,17.2,17.4,10.5
4695.4429,16.0,6.525,-1.829,4.1,1.5,4.7,5.7,2.8,3.9,11.8,11.5,7.7
6046.0,16.0,7.868,-0.1,5.0,4.5,1.1,-1.6,2.3,3.8,21.9,25.7,6.9
6052.656,16.0,7.87,-0.4,2.0,-2.8,7.2,3.3,5.6,3.8,18.1,20.9,10.3
6743.54,16.0,7.866,-0.6,1.7,1.3,7.1,2.9,2.1,2.7,2.7,3.4,8.9
6757.1709,16.0,7.87,-0.353,8.9,4.6,28.0,29.3,11.8,12.5,19.7,19.8,12.9
7686.1602,16.0,7.868,-1.013,2.3,2.0,6.1,7.4,1.3,1.4,2.9,7.0,2.7
7698.9741,19.0,0.0,-0.177,162.5,170.0,148.1,148.6,129.2,132.1,170.5,172.0,160.7
4512.2681,20.0,2.526,-1.901,22.5,25.3,19.7,17.9,10.2,9.9,30.8,31.7,23.2
5260.3872,20.0,2.521,-1.719,32.2,37.5,27.1,26.0,17.0,15.9,41.3,43.1,31.9
5261.71,20.0,2.52,-0.677,99.0,104.8,97.3,91.4,72.3,72.9,114.9,115.3,100.2
5349.47,20.0,2.71,-0.581,94.9,102.1,91.1,88.7,71.8,73.1,104.6,106.9,94.1
5512.98,20.0,2.93,-0.559,88.5,93.8,81.8,82.4,57.7,58.4,93.3,94.6,87.5
5581.97,20.0,2.52,-0.63,97.4,103.2,92.4,92.5,71.4,71.9,110.4,112.6,96.9
5590.12,20.0,2.52,-0.65,94.1,97.8,90.4,87.6,70.6,70.9,102.7,103.5,92.1
5867.562,20.0,2.933,-1.57,24.3,26.5,19.4,19.2,9.9,11.8,33.6,32.8,24.6
6156.02,20.0,2.52,-2.497,8.5,8.2,,,,2.9,13.4,14.2,9.1
6161.2969,20.0,2.523,-1.266,61.5,68.0,52.6,50.0,33.5,34.8,74.1,77.0,61.7
6163.755,20.0,2.521,-1.286,63.0,67.4,62.2,60.4,38.3,36.9,75.8,77.8,64.1
6166.439,20.0,2.521,-1.142,71.6,76.0,64.2,66.2,42.5,43.5,81.8,83.8,70.7
6169.042,20.0,2.523,-0.797,94.8,101.3,87.1,87.3,62.8,64.2,104.1,100.9,91.8
6169.55,20.0,2.52,-0.58,112.6,118.1,106.7,105.7,81.2,81.5,117.0,114.3,107.3
6449.82,20.0,2.52,-0.733,96.5,109.2,97.9,100.4,79.0,78.1,109.9,111.0,100.3
6455.5981,20.0,2.523,-1.34,58.0,62.2,50.4,48.5,32.0,31.8,69.4,72.1,55.5
6471.6621,20.0,2.526,-0.686,93.9,99.1,88.6,87.6,68.3,69.1,106.7,108.3,92.5
6499.6499,20.0,2.523,-0.818,87.0,91.3,79.8,79.1,62.7,60.8,97.9,99.8,86.0
6572.8,20.0,0.0,-4.28,37.0,45.1,24.4,23.4,9.9,10.3,52.6,66.2,32.8
4743.8208,21.0,1.448,0.422,8.4,11.4,3.6,3.0,,,12.8,17.9,8.4
5081.561,21.0,1.448,0.469,7.9,10.1,4.2,2.5,,,13.7,15.4,9.2
5520.5,21.0,1.87,0.562,5.7,8.5,4.0,6.1,,,12.5,13.7,7.2
5671.8281,21.0,1.448,0.495,14.5,17.7,11.4,17.4,,,23.8,27.1,14.6
5686.856,21.0,1.439,0.376,8.3,10.3,,,,,11.2,12.4,7.4
5318.374,21.1,1.357,-2.015,10.4,11.6,14.4,16.7,11.8,16.2,23.2,24.6,12.2
5526.82,21.1,1.77,0.14,68.8,65.8,84.5,83.5,80.9,78.4,94.2,96.8,76.2
5657.88,21.1,1.51,-0.326,60.7,57.8,72.5,69.8,66.8,65.3,86.8,89.6,68.1
5667.14,21.1,1.5,-1.025,28.6,29.8,37.4,39.6,34.1,26.5,50.7,51.3,30.8
5669.055,21.1,1.5,-1.2,29.0,26.3,42.1,39.7,35.4,37.9,55.1,56.4,34.6
5684.2139,21.1,1.507,-1.074,31.9,33.1,38.6,40.9,35.0,34.3,60.7,58.5,39.1
6245.6411,21.1,1.507,-1.036,27.6,27.0,37.2,34.9,34.5,33.5,51.3,52.7,34.8
6320.843,21.1,1.5,-1.923,6.9,6.7,6.7,7.0,11.8,11.7,14.4,16.6,8.6
6604.5781,21.1,1.357,-1.309,31.5,31.9,40.2,40.4,32.4,32.8,53.7,56.3,37.2
4512.733,22.0,0.84,-0.42,68.4,75.2,55.1,54.9,42.3,43.5,78.4,82.5,66.9
4518.023,22.0,0.83,-0.27,75.8,81.9,59.4,59.4,48.1,48.1,83.8,87.0,73.4
4555.485,22.0,0.85,-0.43,65.8,72.2,50.5,52.7,40.1,41.1,75.9,78.2,64.6
4562.64,22.0,0.02,-2.6,17.6,17.7,4.7,4.9,3.1,1.7,25.0,21.7,10.2
4617.28,22.0,1.75,0.45,64.4,70.0,53.9,52.4,41.2,41.1,76.7,77.9,64.2
4623.1,22.0,1.74,0.17,58.2,64.7,47.8,44.5,29.6,29.5,75.9,80.4,59.1
4645.19,22.0,1.73,-0.666,25.5,29.6,15.0,16.3,9.2,9.5,30.7,35.3,22.7
4656.47,22.0,0.0,-1.308,71.8,77.3,59.3,58.5,43.4,43.5,84.9,87.9,69.9
4675.11,22.0,1.07,-0.939,38.5,45.5,25.0,23.6,13.4,14.4,52.4,56.1,38.1
4722.61,22.0,1.05,-1.433,19.2,26.0,10.3,9.4,5.6,5.4,28.5,30.5,18.8
4758.118,22.0,2.249,0.481,45.6,49.5,31.2,31.2,23.3,21.0,54.1,56.8,43.6
4759.269,22.0,2.256,0.57,47.9,53.0,37.3,36.5,25.6,25.6,57.2,58.5,47.4
4778.258,22.0,2.236,-0.22,17.9,20.8,4.7,5.7,7.4,4.0,23.6,27.4,16.2
